order_id,order_date,month,region,product,quantity,unit_price,revenue
1000,2024-01-15,2024-01,North,Laptop Pro 14,20,1200.0,24000.0
1001,2024-01-15,2024-01,North,Wireless Mouse,126,25.0,3150.0
1002,2024-01-15,2024-01,North,4K Monitor 27in,29,350.0,10150.0
1003,2024-01-15,2024-01,North,Ergo Office Chair,21,180.0,3780.0
1004,2024-01-15,2024-01,North,Mechanical Keyboard,62,90.0,5580.0
1005,2024-01-15,2024-01,South,Laptop Pro 14,16,1200.0,19200.0
1006,2024-01-15,2024-01,South,Wireless Mouse,133,25.0,3325.0
1007,2024-01-15,2024-01,South,4K Monitor 27in,22,350.0,7700.0
1008,2024-01-15,2024-01,South,Ergo Office Chair,18,180.0,3240.0
1009,2024-01-15,2024-01,South,Mechanical Keyboard,40,90.0,3600.0
1010,2024-01-15,2024-01,East,Laptop Pro 14,16,1200.0,19200.0
1011,2024-01-15,2024-01,East,Wireless Mouse,133,25.0,3325.0
1012,2024-01-15,2024-01,East,4K Monitor 27in,24,350.0,8400.0
1013,2024-01-15,2024-01,East,Ergo Office Chair,19,180.0,3420.0
1014,2024-01-15,2024-01,East,Mechanical Keyboard,55,90.0,4950.0
1015,2024-01-15,2024-01,West,Laptop Pro 14,23,1200.0,27600.0
1016,2024-01-15,2024-01,West,Wireless Mouse,160,25.0,4000.0
1017,2024-01-15,2024-01,West,4K Monitor 27in,39,350.0,13650.0
1018,2024-01-15,2024-01,West,Ergo Office Chair,30,180.0,5400.0
1019,2024-01-15,2024-01,West,Mechanical Keyboard,59,90.0,5310.0
1020,2024-02-15,2024-02,North,Laptop Pro 14,21,1200.0,25200.0
1021,2024-02-15,2024-02,North,Wireless Mouse,158,25.0,3950.0
1022,2024-02-15,2024-02,North,4K Monitor 27in,30,350.0,10500.0
1023,2024-02-15,2024-02,North,Ergo Office Chair,21,180.0,3780.0
1024,2024-02-15,2024-02,North,Mechanical Keyboard,67,90.0,6030.0
1025,2024-02-15,2024-02,South,Laptop Pro 14,15,1200.0,18000.0
1026,2024-02-15,2024-02,South,Wireless Mouse,106,25.0,2650.0
1027,2024-02-15,2024-02,South,4K Monitor 27in,23,350.0,8050.0
1028,2024-02-15,2024-02,South,Ergo Office Chair,21,180.0,3780.0
1029,2024-02-15,2024-02,South,Mechanical Keyboard,49,90.0,4410.0
1030,2024-02-15,2024-02,East,Laptop Pro 14,19,1200.0,22800.0
1031,2024-02-15,2024-02,East,Wireless Mouse,144,25.0,3600.0
1032,2024-02-15,2024-02,East,4K Monitor 27in,29,350.0,10150.0
1033,2024-02-15,2024-02,East,Ergo Office Chair,24,180.0,4320.0
1034,2024-02-15,2024-02,East,Mechanical Keyboard,51,90.0,4590.0
1035,2024-02-15,2024-02,West,Laptop Pro 14,23,1200.0,27600.0
1036,2024-02-15,2024-02,West,Wireless Mouse,195,25.0,4875.0
1037,2024-02-15,2024-02,West,4K Monitor 27in,39,350.0,13650.0
1038,2024-02-15,2024-02,West,Ergo Office Chair,31,180.0,5580.0
